Date,close,high,low,open,volume,ma_7,ma_14,ma_30,ma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_std,bb_upper,bb_lower,bb_width,atr_14,price_change,price_change_7,price_change_30,volume_ma_7,volume_ratio,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_7,volume_lag_7,close_lag_14,volume_lag_14,target,target_direction
2024-06-11,3498.33056640625,3669.890869140625,3434.7490234375,3666.35888671875,19184721538,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3498.33056640625,3498.33056640625,39.92037503107754,0.0,0.0,0.0,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,0.01751895888957078,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3559.61767578125,1
2024-06-12,3559.61767578125,3652.4921875,3463.784912109375,3497.89697265625,17142905351,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3507.7593524639424,3502.8703522858796,39.92037503107754,4.889000178062815,0.9778000356125631,3.9112001424502525,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,0.01751895888957078,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3469.28125,0
2024-06-13,3469.28125,3559.725341796875,3431.33349609375,3559.725341796875,14472382154,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3501.8396443925667,3500.382270635074,39.92037503107754,1.45737375749286,1.0737147799886226,0.3836589775042374,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,-0.025378125970065946,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3559.61767578125,17142905351.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3480.27197265625,1
2024-06-14,3480.27197265625,3528.602294921875,3366.223876953125,3467.969970703125,15793876596,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3498.521541048518,3498.892618932939,39.92037503107754,-0.3710778844210836,0.7847562471066813,-1.155834131527765,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,0.003168011430681794,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3469.28125,14472382154.0,3559.61767578125,17142905351.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3565.549560546875,1
2024-06-15,3565.549560546875,3589.887451171875,3473.45263671875,3479.78564453125,12733651076,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3508.833544048265,3503.830170163601,39.92037503107754,5.003373884664143,1.6284797746181736,3.374894110045969,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,0.024503138996214258,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3480.27197265625,15793876596.0,3469.28125,14472382154.0,3559.61767578125,17142905351.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3620.5634765625,1
2024-06-16,3620.5634765625,3648.093017578125,3541.534423828125,3566.761962890625,9878388158,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3526.0227644350703,3512.4770817487047,39.92037503107754,13.54568268636558,4.011920356967655,9.533762329397925,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,0.015429295002475696,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3565.549560546875,12733651076.0,3480.27197265625,15793876596.0,3469.28125,14472382154.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3511.37890625,0
2024-06-17,3511.37890625,3634.285400390625,3468.14892578125,3622.383544921875,17838856988,3529.2847726004466,3502.7761753627233,3359.9049560546873,3351.8008447265624,3523.7698631758285,3512.3957354154672,39.92037503107754,11.374127760361262,5.484361837646377,5.889765922714885,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,-0.03015678941117861,-0.004187474466406327,-0.11376848136687967,15292111694.428572,1.1665398046039184,3620.5634765625,9878388158.0,3565.549560546875,12733651076.0,3480.27197265625,15793876596.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3483.681396484375,0
2024-06-18,3483.681396484375,3514.17724609375,3371.59033203125,3510.565185546875,21022514455,3527.1920340401784,3502.7761753627233,3359.9049560546873,3351.8008447265624,3517.602406761759,3510.2687473464975,39.92037503107754,7.333659415261536,5.854221353169409,1.479438062092127,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,-0.007887929643914382,-0.004187474466406327,-0.11376848136687967,15554653539.714285,1.3515257283825142,3511.37890625,17838856988.0,3620.5634765625,9878388158.0,3565.549560546875,12733651076.0,3498.33056640625,19184721538.0,3498.33056640625,19184721538.0,3559.347412109375,1
2024-06-19,3559.347412109375,3583.320068359375,3466.48095703125,3482.350830078125,15275373778,3527.1534249441966,3502.7761753627233,3359.9049560546873,3351.8008447265624,3524.024715276777,3513.9042039955993,39.92037503107754,10.120511281177642,6.707479338771057,3.413031942406585,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,0.021720130807989513,-7.59249156766506e-05,-0.11376848136687967,15287863315.0,0.999183042342631,3483.681396484375,21022514455.0,3511.37890625,17838856988.0,3620.5634765625,9878388158.0,3559.61767578125,17142905351.0,3498.33056640625,19184721538.0,3511.0869140625,0
2024-06-20,3511.0869140625,3623.886474609375,3485.4599609375,3559.347412109375,16115123753,3533.125662667411,3502.7761753627233,3359.9049560546873,3351.8008447265624,3522.0342843207345,3513.695515852407,39.92037503107754,8.338768468327544,7.033737164682355,1.3050313036451886,3471.3833129882814,75.54301714989263,3622.4693472880667,3320.297278688496,0.08704658672206697,138.29647391183036,-0.013558805157003362,0.012050237801417785,-0.11376848136687967,15522540686.285715,1.038175649121528,3559.347412109375,15275373778.0,3483.681396484375,21022514455.0,3511.37890625,17838856988.0,3469.28125,14472382154.0,3498.33056640625,19184721538.0,3516.07568359375,1
