Model,MAE,RMSE,R²,Direction_Accuracy
Linear Regression (BTC),1494.4124517189416,2166.1649933902795,0.9100866183423466,0.5068493150684932
RNN (BTC),71279.53336728852,71483.52098356208,-174.46569958094113,0.5258620689655172
Linear Regression (ETH),67.57204392418924,94.79981754321936,0.9112812601983309,0.4589041095890411
RNN (ETH),1698.989218087032,1709.6377468278743,-79.52652758057474,0.5172413793103449
