Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,MACD,MACD_Signal,MACD_Histogram,ATR,Price_Change_1d,Price_Change_5d,Price_Change_10d,Volume_Change,Volume_MA20,Volume_Ratio
2021-05-29,34616.06640625,37234.5,33693.9296875,35684.15625,45231013335,43865.1060546875,,28.00718006604157,-4684.554174902856,-4416.646247363974,-267.9079275388822,5839.886439732143,-7.330926240942082,2.8351085571532986,-16.907263418651443,-18.060043388379555,68307876755.45,0.6621639477527927
2021-05-30,35678.12890625,36400.66796875,33520.73828125,34607.40625,31646080921,42682.9328125,,29.922350382483785,-4759.344665683566,-4485.185931027892,-274.15873465567347,5624.728236607143,-3.017445592538004,-10.795954779232597,-5.839585100934331,-30.034552428406258,66301353486.6,0.47730671029809235
2021-05-31,37332.85546875,37468.25,34241.9453125,35658.59375,39009847639,41673.500390625,,32.596988138345935,-4679.8482448914365,-4524.118393800602,-155.72985109083493,5533.082310267857,3.0374639821497684,-7.1212407330835,-12.164351173632483,23.269126867186518,65186426052.3,0.5984351344511791
2021-06-01,36684.92578125,37896.734375,35787.0859375,37293.79296875,34639423297,40702.4634765625,,39.54159100736117,-4433.789877876043,-4506.05269061569,72.26281273964742,5403.801897321428,4.58570865192911,-5.1456196664839915,-0.20667955543773875,-11.203387366298445,63157627021.8,0.5484598603592813
2021-06-02,37575.1796875,38231.33984375,35966.30859375,36699.921875,33070867190,40050.687890625,,39.47389143412759,-4237.855918287052,-4452.413336149963,214.55741786291037,4646.688337053572,-1.5924126951839646,-4.6930592008592615,-2.2155481897421225,-4.5282396694400155,59975112735.0,0.5514098378793152
2021-06-03,39208.765625,39478.953125,37243.97265625,37599.41015625,35460750427,39446.509375,,51.735014256109935,-3964.2977005231733,-4354.790209024605,390.492508501432,4281.307756696428,2.4509269646776355,5.367238874395408,8.354514480159558,7.226551463768849,58961275383.7,0.6014244128240689
2021-06-04,36894.40625,39242.484375,35717.72265625,39242.484375,41831090187,38915.8587890625,,46.945629073934796,-3573.722832112464,-4198.576733642178,624.8539015297138,3921.953683035714,4.369946794170332,13.39331266699595,1.1514219087932487,17.964480963577103,58094777519.35,0.7200490641876897
2021-06-05,35551.95703125,37917.71484375,34900.4140625,36880.15625,35959473399,38424.034765625,,48.84819667767655,-3415.43852259282,-4041.9490914323064,626.5105688394865,3859.7254464285716,-6.019823063253749,3.4257169774116525,-3.939477308467443,-14.03648999285403,56690357611.55,0.6343137512978693
2021-06-06,35862.37890625,36436.421875,35304.578125,35538.609375,28913440585,37880.1703125,,45.569518678960726,-3359.5222071846365,-3905.463714582773,545.9415073981363,3467.8468191964284,-3.637584575038233,-4.706369221335949,-9.609817027589528,-19.594371518788545,54390847718.3,0.5315865039417645
2021-06-07,33560.70703125,36790.5703125,33480.640625,35835.265625,33683936663,37497.5306640625,,52.843557783235624,-3253.763088763015,-3775.123589418821,521.3605006558064,3326.8376116071427,0.834743551357664,-2.3560165957437706,-6.938506542982703,16.499233510365706,53265676297.25,0.6323760253230659
2021-06-08,33472.6328125,34017.38671875,31114.443359375,33589.51953125,49902050442,37029.7578125,,35.62283056574164,-3312.971295896932,-3682.6931307144437,369.72183481751154,3301.4686104910716,-6.266860464355773,-10.664770027870906,-5.869934836276258,48.14791673924126,49442873882.0,1.0092870119381787
2021-06-09,37345.12109375,37537.37109375,32475.865234375,33416.9765625,53972919008,36862.9232421875,,36.08240641594371,-3335.368945193899,-3613.228293610335,277.8593484164362,3457.5588727678573,-0.513680967033403,-14.84490063583035,-3.439811926096026,8.157718029505578,47727422664.45,1.1308576075322414
2021-06-10,36702.59765625,38334.32421875,35847.59375,37389.515625,43576032854,36702.5515625,,45.39426987012686,-2998.0093555240674,-3490.184505993082,492.1751504690146,3585.104073660714,11.887787200227805,1.3811204365491214,4.854150691234138,-19.263153346327154,45803643464.1,0.9513660826600845
2021-06-11,37334.3984375,37608.6953125,36044.44921875,36697.03125,38699736985,36668.8515625,,45.65024219818817,-2754.7718567169504,-3343.1019761378557,588.3301194209052,3372.703683035714,-1.8520816956959396,3.2596150929161016,-1.6001636498868654,-11.190316211982543,44869766651.35,0.8624902662344387
2021-06-12,35552.515625,37408.92578125,34728.19140625,37340.14453125,37924228550,36659.286328125,,54.44524159197516,-2481.5052713214463,-3170.782635174574,689.2773638531276,3220.388113839286,1.7524940283827561,4.199435611829649,1.7444796161435905,-2.003911383947099,42842514360.8,0.8852008131600201
